"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Negative login check","2567","Check that user cannot login with invalid data","TestRail CrossBrowserTest","Tue Jan 14 21:34:09 GMT 2025","passed","Tue Jan 14 21:34:11 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","4877","Check that user cannot login with invalid data","TestRail CrossBrowserTest","Tue Jan 14 21:34:00 GMT 2025","passed","Tue Jan 14 21:34:05 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Check that deleted test case is displayed in the list after making Display Deleted Test Cases on","4645","Check that deleted test case is displayed","TestRail CrossBrowserTest","Tue Jan 14 21:35:28 GMT 2025","broken","Tue Jan 14 21:35:33 GMT 2025","tests.TestCaseTest","FireFox","tests.TestCaseTest","checkDisplayDeletedTestCase"
"Check that project is created","7358","Check that a new project is created","TestRail CrossBrowserTest","Tue Jan 14 21:34:11 GMT 2025","passed","Tue Jan 14 21:34:18 GMT 2025","tests.ProjectTest","Edge","tests.ProjectTest","checkCreateProject"
"Check that test case is created","8852","Check that a new test case can be created from sidebar","TestRail CrossBrowserTest","Tue Jan 14 21:34:03 GMT 2025","passed","Tue Jan 14 21:34:12 GMT 2025","tests.TestCaseTest","FireFox","tests.TestCaseTest","checkCreateTestCaseFromActionsBar"
"Check that test case is edited","34327","Check that test case can be edited","TestRail CrossBrowserTest","Tue Jan 14 21:36:51 GMT 2025","broken","Tue Jan 14 21:37:25 GMT 2025","tests.TestCaseTest","FireFox","tests.TestCaseTest","checkEditTestCase"
"Check positive login","3722","Check positive login","TestRail CrossBrowserTest","Tue Jan 14 21:34:12 GMT 2025","passed","Tue Jan 14 21:34:15 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkValidLogin"
"Check that test case is deleted","4679","Check that the test case can be deleted","TestRail CrossBrowserTest","Tue Jan 14 21:35:03 GMT 2025","broken","Tue Jan 14 21:35:07 GMT 2025","tests.TestCaseTest","FireFox","tests.TestCaseTest","checkDeleteTestCaseFromList"
"Check that project is deleted","5665","Check that the project can be deleted","TestRail CrossBrowserTest","Tue Jan 14 21:34:34 GMT 2025","failed","Tue Jan 14 21:34:39 GMT 2025","tests.ProjectTest","Edge","tests.ProjectTest","checkDeleteProject"
"Negative login check","2803","Check that user cannot login with invalid data","TestRail CrossBrowserTest","Tue Jan 14 21:34:05 GMT 2025","passed","Tue Jan 14 21:34:08 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
