"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check that deleted test case is displayed in the list after making Display Deleted Test Cases on","6211","Check that deleted test case is displayed","TestRail RegressionTest","Mon Jan 20 20:39:06 GMT 2025","passed","Mon Jan 20 20:39:12 GMT 2025","tests.ui.TestCaseTest","Thread#2","tests.ui.TestCaseTest","checkDisplayDeletedTestCase"
"Check positive login","2944","Check positive login","TestRail RegressionTest","Mon Jan 20 20:38:30 GMT 2025","passed","Mon Jan 20 20:38:33 GMT 2025","tests.ui.LoginTest","Thread#1","tests.ui.LoginTest","checkValidLogin"
"Check that project is deleted","1009","Check that the project can be deleted using API","TestRail RegressionTest","Mon Jan 20 20:38:35 GMT 2025","passed","Mon Jan 20 20:38:36 GMT 2025","tests.api.ProjectTest","Thread#2","tests.api.ProjectTest","checkDeleteTestCase"
"Check that project is deleted","4645","Check that the project can be deleted","TestRail RegressionTest","Mon Jan 20 20:38:30 GMT 2025","passed","Mon Jan 20 20:38:34 GMT 2025","tests.ui.ProjectTest","Thread#1","tests.ui.ProjectTest","checkDeleteProject"
"Check that test case is deleted","1086","Check that the test case can be deleted using API","TestRail RegressionTest","Mon Jan 20 20:38:37 GMT 2025","passed","Mon Jan 20 20:38:39 GMT 2025","tests.api.TestCaseTest","Thread#2","tests.api.TestCaseTest","checkDeleteTestCase"
"Check that Test Case can be assigned to someone","5942","Check that Test Case can be assigned to someone","TestRail RegressionTest","Mon Jan 20 20:38:42 GMT 2025","passed","Mon Jan 20 20:38:48 GMT 2025","tests.ui.TestCaseTest","Thread#2","tests.ui.TestCaseTest","checkAssignToValue"
"Check that test case is edited","6876","Check that test case can be edited","TestRail RegressionTest","Mon Jan 20 20:39:13 GMT 2025","passed","Mon Jan 20 20:39:19 GMT 2025","tests.ui.TestCaseTest","Thread#2","tests.ui.TestCaseTest","checkEditTestCase"
"Check that test case data can be taken form API","1665","Check that test case dat can be taken from API","TestRail RegressionTest","Mon Jan 20 20:38:39 GMT 2025","passed","Mon Jan 20 20:38:40 GMT 2025","tests.api.TestCaseTest","Thread#2","tests.api.TestCaseTest","checkGetTestCase"
"Check that test case is created","1104","Check that a new test case can be created using API","TestRail RegressionTest","Mon Jan 20 20:38:36 GMT 2025","passed","Mon Jan 20 20:38:37 GMT 2025","tests.api.TestCaseTest","Thread#2","tests.api.TestCaseTest","checkCreateTestCase"
"Check that project is created","8752","Check that a new project is created","TestRail RegressionTest","Mon Jan 20 20:38:20 GMT 2025","passed","Mon Jan 20 20:38:29 GMT 2025","tests.ui.ProjectTest","Thread#1","tests.ui.ProjectTest","checkCreateProject"
"Negative login check","2523","Check that user cannot login with invalid data","TestRail RegressionTest","Mon Jan 20 20:38:23 GMT 2025","passed","Mon Jan 20 20:38:26 GMT 2025","tests.ui.LoginTest","Thread#1","tests.ui.LoginTest","checkInvalidLogin"
"Check that test case is created","5561","Check that a new test case can be created from sidebar","TestRail RegressionTest","Mon Jan 20 20:38:48 GMT 2025","passed","Mon Jan 20 20:38:54 GMT 2025","tests.ui.TestCaseTest","Thread#2","tests.ui.TestCaseTest","checkCreateTestCaseFromActionsBar"
"Negative login check","2720","Check that user cannot login with invalid data","TestRail RegressionTest","Mon Jan 20 20:38:26 GMT 2025","passed","Mon Jan 20 20:38:29 GMT 2025","tests.ui.LoginTest","Thread#1","tests.ui.LoginTest","checkInvalidLogin"
"Check that a new column can be added to the test cases table","7088","Check that new column can be added to the test cases table","TestRail RegressionTest","Mon Jan 20 20:38:35 GMT 2025","passed","Mon Jan 20 20:38:42 GMT 2025","tests.ui.TestCaseTest","Thread#2","tests.ui.TestCaseTest","checkAddNewColumnToTable"
"Check that Test Case is deleted using DELETE button in Actions bar","5424","Check that Test Case can be deleted using DELETE button in Actions bar","TestRail RegressionTest","Mon Jan 20 20:38:54 GMT 2025","passed","Mon Jan 20 20:39:00 GMT 2025","tests.ui.TestCaseTest","Thread#2","tests.ui.TestCaseTest","checkDeleteTestCaseFromActions"
"Check that test case is deleted","5582","Check that the test case can be deleted","TestRail RegressionTest","Mon Jan 20 20:39:00 GMT 2025","passed","Mon Jan 20 20:39:06 GMT 2025","tests.ui.TestCaseTest","Thread#2","tests.ui.TestCaseTest","checkDeleteTestCaseFromList"
"Negative login check","2477","Check that user cannot login with invalid data","TestRail RegressionTest","Mon Jan 20 20:38:20 GMT 2025","passed","Mon Jan 20 20:38:23 GMT 2025","tests.ui.LoginTest","Thread#1","tests.ui.LoginTest","checkInvalidLogin"
"Check that test case is edited","1663","Check that test case can be edited using API","TestRail RegressionTest","Mon Jan 20 20:38:40 GMT 2025","passed","Mon Jan 20 20:38:42 GMT 2025","tests.api.TestCaseTest","Thread#2","tests.api.TestCaseTest","checkUpdateTestCase"
"Check that project is created","1060","Check that a new project is created","TestRail RegressionTest","Mon Jan 20 20:38:34 GMT 2025","passed","Mon Jan 20 20:38:35 GMT 2025","tests.api.ProjectTest","Thread#2","tests.api.ProjectTest","checkCreateProject"
