"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check that a new column can be added to the test cases table","4998","Check that new column can be added to the test cases table","TestRail CrossBrowserTest","Sat Jan 18 18:54:09 GMT 2025","broken","Sat Jan 18 18:54:14 GMT 2025","tests.TestCaseTest","FireFox","tests.TestCaseTest","checkAddNewColumnToTable"
"Check positive login","1780","Check positive login","TestRail CrossBrowserTest","Sat Jan 18 18:53:41 GMT 2025","passed","Sat Jan 18 18:53:43 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkValidLogin"
"Negative login check","1148","Check that user cannot login with invalid data","TestRail CrossBrowserTest","Sat Jan 18 18:53:38 GMT 2025","passed","Sat Jan 18 18:53:40 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Check that test case is created","6658","Check that a new test case can be created from sidebar","TestRail CrossBrowserTest","Sat Jan 18 18:54:26 GMT 2025","passed","Sat Jan 18 18:54:33 GMT 2025","tests.TestCaseTest","FireFox","tests.TestCaseTest","checkCreateTestCaseFromActionsBar"
"Check that Test Case is deleted using DELETE button in Actions bar","33287","Check that Test Case can be deleted using DELETE button in Actions bar","TestRail CrossBrowserTest","Sat Jan 18 18:55:21 GMT 2025","broken","Sat Jan 18 18:55:54 GMT 2025","tests.TestCaseTest","FireFox","tests.TestCaseTest","checkDeleteTestCaseFromActions"
"Negative login check","1290","Check that user cannot login with invalid data","TestRail CrossBrowserTest","Sat Jan 18 18:53:37 GMT 2025","passed","Sat Jan 18 18:53:38 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","1181","Check that user cannot login with invalid data","TestRail CrossBrowserTest","Sat Jan 18 18:53:40 GMT 2025","passed","Sat Jan 18 18:53:41 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Check that test case is deleted","3133","Check that the test case can be deleted","TestRail CrossBrowserTest","Sat Jan 18 18:56:09 GMT 2025","broken","Sat Jan 18 18:56:12 GMT 2025","tests.TestCaseTest","FireFox","tests.TestCaseTest","checkDeleteTestCaseFromList"
"Check that project is created","6309","Check that a new project is created","TestRail CrossBrowserTest","Sat Jan 18 18:53:56 GMT 2025","passed","Sat Jan 18 18:54:02 GMT 2025","tests.ProjectTest","Edge","tests.ProjectTest","checkCreateProject"
"Check that Test Case can be assigned to someone","6184","Check that Test Case can be assigned to someone","TestRail CrossBrowserTest","Sat Jan 18 18:54:17 GMT 2025","passed","Sat Jan 18 18:54:23 GMT 2025","tests.TestCaseTest","FireFox","tests.TestCaseTest","checkAssignToValue"
"Check that test case is edited","33264","Check that test case can be edited","TestRail CrossBrowserTest","Sat Jan 18 18:57:42 GMT 2025","broken","Sat Jan 18 18:58:16 GMT 2025","tests.TestCaseTest","FireFox","tests.TestCaseTest","checkEditTestCase"
"Check that project is deleted","5352","Check that the project can be deleted","TestRail CrossBrowserTest","Sat Jan 18 18:54:16 GMT 2025","broken","Sat Jan 18 18:54:21 GMT 2025","tests.ProjectTest","Edge","tests.ProjectTest","checkDeleteProject"
"Check that deleted test case is displayed in the list after making Display Deleted Test Cases on","3149","Check that deleted test case is displayed","TestRail CrossBrowserTest","Sat Jan 18 18:56:25 GMT 2025","broken","Sat Jan 18 18:56:29 GMT 2025","tests.TestCaseTest","FireFox","tests.TestCaseTest","checkDisplayDeletedTestCase"
