"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check that project is deleted","2850","Check that the project can be deleted","TestRail RegressionTest","Mon Jan 20 20:37:40 GMT 2025","passed","Mon Jan 20 20:37:43 GMT 2025","tests.ui.ProjectTest","Thread#1","tests.ui.ProjectTest","checkDeleteProject"
"Check that test case is edited","4551","Check that test case can be edited","TestRail RegressionTest","Mon Jan 20 20:38:09 GMT 2025","passed","Mon Jan 20 20:38:13 GMT 2025","tests.ui.TestCaseTest","Thread#2","tests.ui.TestCaseTest","checkEditTestCase"
"Check positive login","1854","Check positive login","TestRail RegressionTest","Mon Jan 20 20:37:39 GMT 2025","passed","Mon Jan 20 20:37:41 GMT 2025","tests.ui.LoginTest","Thread#1","tests.ui.LoginTest","checkValidLogin"
"Check that project is created","529","Check that a new project is created","TestRail RegressionTest","Mon Jan 20 20:37:43 GMT 2025","passed","Mon Jan 20 20:37:44 GMT 2025","tests.api.ProjectTest","Thread#2","tests.api.ProjectTest","checkCreateProject"
"Negative login check","1476","Check that user cannot login with invalid data","TestRail RegressionTest","Mon Jan 20 20:37:33 GMT 2025","passed","Mon Jan 20 20:37:34 GMT 2025","tests.ui.LoginTest","Thread#1","tests.ui.LoginTest","checkInvalidLogin"
"Check that Test Case is deleted using DELETE button in Actions bar","3787","Check that Test Case can be deleted using DELETE button in Actions bar","TestRail RegressionTest","Mon Jan 20 20:37:57 GMT 2025","passed","Mon Jan 20 20:38:01 GMT 2025","tests.ui.TestCaseTest","Thread#2","tests.ui.TestCaseTest","checkDeleteTestCaseFromActions"
"Check that a new column can be added to the test cases table","4556","Check that new column can be added to the test cases table","TestRail RegressionTest","Mon Jan 20 20:37:43 GMT 2025","passed","Mon Jan 20 20:37:48 GMT 2025","tests.ui.TestCaseTest","Thread#2","tests.ui.TestCaseTest","checkAddNewColumnToTable"
"Check that project is deleted","534","Check that the project can be deleted using API","TestRail RegressionTest","Mon Jan 20 20:37:44 GMT 2025","passed","Mon Jan 20 20:37:44 GMT 2025","tests.api.ProjectTest","Thread#2","tests.api.ProjectTest","checkDeleteTestCase"
"Check that test case is edited","919","Check that test case can be edited using API","TestRail RegressionTest","Mon Jan 20 20:37:46 GMT 2025","passed","Mon Jan 20 20:37:47 GMT 2025","tests.api.TestCaseTest","Thread#2","tests.api.TestCaseTest","checkUpdateTestCase"
"Check that project is created","6727","Check that a new project is created","TestRail RegressionTest","Mon Jan 20 20:37:33 GMT 2025","passed","Mon Jan 20 20:37:40 GMT 2025","tests.ui.ProjectTest","Thread#1","tests.ui.ProjectTest","checkCreateProject"
"Check that test case is created","616","Check that a new test case can be created using API","TestRail RegressionTest","Mon Jan 20 20:37:44 GMT 2025","passed","Mon Jan 20 20:37:45 GMT 2025","tests.api.TestCaseTest","Thread#2","tests.api.TestCaseTest","checkCreateTestCase"
"Check that test case data can be taken form API","823","Check that test case dat can be taken from API","TestRail RegressionTest","Mon Jan 20 20:37:45 GMT 2025","passed","Mon Jan 20 20:37:46 GMT 2025","tests.api.TestCaseTest","Thread#2","tests.api.TestCaseTest","checkGetTestCase"
"Check that deleted test case is displayed in the list after making Display Deleted Test Cases on","3373","Check that deleted test case is displayed","TestRail RegressionTest","Mon Jan 20 20:38:05 GMT 2025","passed","Mon Jan 20 20:38:09 GMT 2025","tests.ui.TestCaseTest","Thread#2","tests.ui.TestCaseTest","checkDisplayDeletedTestCase"
"Check that Test Case can be assigned to someone","4023","Check that Test Case can be assigned to someone","TestRail RegressionTest","Mon Jan 20 20:37:48 GMT 2025","passed","Mon Jan 20 20:37:52 GMT 2025","tests.ui.TestCaseTest","Thread#2","tests.ui.TestCaseTest","checkAssignToValue"
"Check that test case is deleted","565","Check that the test case can be deleted using API","TestRail RegressionTest","Mon Jan 20 20:37:45 GMT 2025","passed","Mon Jan 20 20:37:45 GMT 2025","tests.api.TestCaseTest","Thread#2","tests.api.TestCaseTest","checkDeleteTestCase"
"Check that test case is created","4022","Check that a new test case can be created from sidebar","TestRail RegressionTest","Mon Jan 20 20:37:53 GMT 2025","passed","Mon Jan 20 20:37:57 GMT 2025","tests.ui.TestCaseTest","Thread#2","tests.ui.TestCaseTest","checkCreateTestCaseFromActionsBar"
"Negative login check","1226","Check that user cannot login with invalid data","TestRail RegressionTest","Mon Jan 20 20:37:35 GMT 2025","passed","Mon Jan 20 20:37:36 GMT 2025","tests.ui.LoginTest","Thread#1","tests.ui.LoginTest","checkInvalidLogin"
"Check that test case is deleted","3476","Check that the test case can be deleted","TestRail RegressionTest","Mon Jan 20 20:38:01 GMT 2025","passed","Mon Jan 20 20:38:05 GMT 2025","tests.ui.TestCaseTest","Thread#2","tests.ui.TestCaseTest","checkDeleteTestCaseFromList"
"Negative login check","1851","Check that user cannot login with invalid data","TestRail RegressionTest","Mon Jan 20 20:37:37 GMT 2025","passed","Mon Jan 20 20:37:39 GMT 2025","tests.ui.LoginTest","Thread#1","tests.ui.LoginTest","checkInvalidLogin"
