"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check positive login","2125","Check positive login","TestRail RegressionTest","Wed Jan 22 19:31:56 GMT 2025","passed","Wed Jan 22 19:31:58 GMT 2025","tests.ui.LoginTest","Thread#1","tests.ui.LoginTest","checkValidLogin"
"Negative login check","2004","Check that user cannot login with invalid data","TestRail RegressionTest","Wed Jan 22 19:31:53 GMT 2025","passed","Wed Jan 22 19:31:55 GMT 2025","tests.ui.LoginTest","Thread#1","tests.ui.LoginTest","checkInvalidLogin"
"Check that project is deleted","548","Check that the project can be deleted using API","TestRail RegressionTest","Wed Jan 22 19:32:01 GMT 2025","passed","Wed Jan 22 19:32:01 GMT 2025","tests.api.ProjectTest","Thread#2","tests.api.ProjectTest","checkDeleteTestCase"
"Check that Test Case can be assigned to someone","3895","Check that Test Case can be assigned to someone","TestRail RegressionTest","Wed Jan 22 19:32:06 GMT 2025","passed","Wed Jan 22 19:32:09 GMT 2025","tests.ui.TestCaseTest","Thread#2","tests.ui.TestCaseTest","checkAssignToValue"
"Check that Test Case is deleted using DELETE button in Actions bar","3581","Check that Test Case can be deleted using DELETE button in Actions bar","TestRail RegressionTest","Wed Jan 22 19:32:14 GMT 2025","passed","Wed Jan 22 19:32:18 GMT 2025","tests.ui.TestCaseTest","Thread#2","tests.ui.TestCaseTest","checkDeleteTestCaseFromActions"
"Check that test case is edited","5042","Check that test case can be edited","TestRail RegressionTest","Wed Jan 22 19:32:27 GMT 2025","passed","Wed Jan 22 19:32:32 GMT 2025","tests.ui.TestCaseTest","Thread#2","tests.ui.TestCaseTest","checkEditTestCase"
"Check that a new column can be added to the test cases table","4726","Check that new column can be added to the test cases table","TestRail RegressionTest","Wed Jan 22 19:32:00 GMT 2025","passed","Wed Jan 22 19:32:05 GMT 2025","tests.ui.TestCaseTest","Thread#2","tests.ui.TestCaseTest","checkAddNewColumnToTable"
"Negative login check","1336","Check that user cannot login with invalid data","TestRail RegressionTest","Wed Jan 22 19:31:51 GMT 2025","passed","Wed Jan 22 19:31:52 GMT 2025","tests.ui.LoginTest","Thread#1","tests.ui.LoginTest","checkInvalidLogin"
"Check that test case data can be taken form API","931","Check that test case dat can be taken from API","TestRail RegressionTest","Wed Jan 22 19:32:03 GMT 2025","passed","Wed Jan 22 19:32:03 GMT 2025","tests.api.TestCaseTest","Thread#2","tests.api.TestCaseTest","checkGetTestCase"
"Check that test case is deleted","3695","Check that the test case can be deleted","TestRail RegressionTest","Wed Jan 22 19:32:18 GMT 2025","passed","Wed Jan 22 19:32:22 GMT 2025","tests.ui.TestCaseTest","Thread#2","tests.ui.TestCaseTest","checkDeleteTestCaseFromList"
"Check that test case is deleted","637","Check that the test case can be deleted using API","TestRail RegressionTest","Wed Jan 22 19:32:02 GMT 2025","passed","Wed Jan 22 19:32:03 GMT 2025","tests.api.TestCaseTest","Thread#2","tests.api.TestCaseTest","checkDeleteTestCase"
"Check that project is created","7238","Check that a new project is created","TestRail RegressionTest","Wed Jan 22 19:31:49 GMT 2025","passed","Wed Jan 22 19:31:56 GMT 2025","tests.ui.ProjectTest","Thread#1","tests.ui.ProjectTest","checkCreateProject"
"Check that test case is created","4139","Check that a new test case can be created from sidebar","TestRail RegressionTest","Wed Jan 22 19:32:10 GMT 2025","passed","Wed Jan 22 19:32:14 GMT 2025","tests.ui.TestCaseTest","Thread#2","tests.ui.TestCaseTest","checkCreateTestCaseFromActionsBar"
"Check that deleted test case is displayed in the list after making Display Deleted Test Cases on","4531","Check that deleted test case is displayed","TestRail RegressionTest","Wed Jan 22 19:32:22 GMT 2025","passed","Wed Jan 22 19:32:27 GMT 2025","tests.ui.TestCaseTest","Thread#2","tests.ui.TestCaseTest","checkDisplayDeletedTestCase"
"Negative login check","1661","Check that user cannot login with invalid data","TestRail RegressionTest","Wed Jan 22 19:31:49 GMT 2025","passed","Wed Jan 22 19:31:51 GMT 2025","tests.ui.LoginTest","Thread#1","tests.ui.LoginTest","checkInvalidLogin"
"Check that project is deleted","3423","Check that the project can be deleted","TestRail RegressionTest","Wed Jan 22 19:31:57 GMT 2025","passed","Wed Jan 22 19:32:00 GMT 2025","tests.ui.ProjectTest","Thread#1","tests.ui.ProjectTest","checkDeleteProject"
"Check that project is created","568","Check that a new project is created","TestRail RegressionTest","Wed Jan 22 19:32:00 GMT 2025","passed","Wed Jan 22 19:32:01 GMT 2025","tests.api.ProjectTest","Thread#2","tests.api.ProjectTest","checkCreateProject"
"Check that test case is created","625","Check that a new test case can be created using API","TestRail RegressionTest","Wed Jan 22 19:32:01 GMT 2025","passed","Wed Jan 22 19:32:02 GMT 2025","tests.api.TestCaseTest","Thread#2","tests.api.TestCaseTest","checkCreateTestCase"
"Check that test case is edited","997","Check that test case can be edited using API","TestRail RegressionTest","Wed Jan 22 19:32:03 GMT 2025","passed","Wed Jan 22 19:32:04 GMT 2025","tests.api.TestCaseTest","Thread#2","tests.api.TestCaseTest","checkUpdateTestCase"
