"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check positive login","2020","Check positive login","TestRail CrossBrowserTest","Sun Jan 19 19:54:56 GMT 2025","passed","Sun Jan 19 19:54:58 GMT 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkValidLogin"
"Negative login check","1487","Check that user cannot login with invalid data","TestRail CrossBrowserTest","Sun Jan 19 19:54:51 GMT 2025","passed","Sun Jan 19 19:54:52 GMT 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkInvalidLogin"
"Check that test case is created","6602","Check that a new test case can be created from sidebar","TestRail CrossBrowserTest","Sun Jan 19 19:55:41 GMT 2025","passed","Sun Jan 19 19:55:48 GMT 2025","tests.ui.TestCaseTest","FireFox","tests.ui.TestCaseTest","checkCreateTestCaseFromActionsBar"
"Check that test case is edited","4064","Check that test case can be edited","TestRail CrossBrowserTest","Sun Jan 19 20:01:04 GMT 2025","broken","Sun Jan 19 20:01:08 GMT 2025","tests.ui.TestCaseTest","FireFox","tests.ui.TestCaseTest","checkEditTestCase"
"Negative login check","1545","Check that user cannot login with invalid data","TestRail CrossBrowserTest","Sun Jan 19 19:54:54 GMT 2025","passed","Sun Jan 19 19:54:56 GMT 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkInvalidLogin"
"Negative login check","1426","Check that user cannot login with invalid data","TestRail CrossBrowserTest","Sun Jan 19 19:54:53 GMT 2025","passed","Sun Jan 19 19:54:54 GMT 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkInvalidLogin"
"Check that Test Case is deleted using DELETE button in Actions bar","34887","Check that Test Case can be deleted using DELETE button in Actions bar","TestRail CrossBrowserTest","Sun Jan 19 19:56:33 GMT 2025","broken","Sun Jan 19 19:57:08 GMT 2025","tests.ui.TestCaseTest","FireFox","tests.ui.TestCaseTest","checkDeleteTestCaseFromActions"
"Check that Test Case can be assigned to someone","8968","Check that Test Case can be assigned to someone","TestRail CrossBrowserTest","Sun Jan 19 19:55:30 GMT 2025","passed","Sun Jan 19 19:55:39 GMT 2025","tests.ui.TestCaseTest","FireFox","tests.ui.TestCaseTest","checkAssignToValue"
"Check that project is deleted","4915","Check that the project can be deleted","TestRail CrossBrowserTest","Sun Jan 19 19:55:27 GMT 2025","broken","Sun Jan 19 19:55:32 GMT 2025","tests.ui.ProjectTest","Edge","tests.ui.ProjectTest","checkDeleteProject"
"Check that project is created","5323","Check that a new project is created","TestRail CrossBrowserTest","Sun Jan 19 19:55:06 GMT 2025","passed","Sun Jan 19 19:55:11 GMT 2025","tests.ui.ProjectTest","Edge","tests.ui.ProjectTest","checkCreateProject"
"Check that a new column can be added to the test cases table","4264","Check that new column can be added to the test cases table","TestRail CrossBrowserTest","Sun Jan 19 19:55:14 GMT 2025","broken","Sun Jan 19 19:55:18 GMT 2025","tests.ui.TestCaseTest","FireFox","tests.ui.TestCaseTest","checkAddNewColumnToTable"
"Check that test case is deleted","34499","Check that the test case can be deleted","TestRail CrossBrowserTest","Sun Jan 19 19:58:24 GMT 2025","broken","Sun Jan 19 19:58:58 GMT 2025","tests.ui.TestCaseTest","FireFox","tests.ui.TestCaseTest","checkDeleteTestCaseFromList"
"Check that deleted test case is displayed in the list after making Display Deleted Test Cases on","34546","Check that deleted test case is displayed","TestRail CrossBrowserTest","Sun Jan 19 20:00:13 GMT 2025","broken","Sun Jan 19 20:00:48 GMT 2025","tests.ui.TestCaseTest","FireFox","tests.ui.TestCaseTest","checkDisplayDeletedTestCase"
